MODULOS NECESARIOS PARA INSTALAR NODUX PARA EMPRESAS CON FACTURACION ELECTRONICA,,
,,
MODULE,COMPANY,
account,core,
account_credit_limit,core,
account_invoice,core,
account_invoice_discount,trytonspain,
account_invoice_stock,core,
account_payment,core,
account_product,core,
account_statement,core,
account_stock_continental,core,
bank,core,
carrier,core,
company,core,
country,core,
currency,core,
dashboard,core,
nodux_account_ats,nodux,
nodux_account_bank_reconciliation,nodux,
nodux_account_debit_note_ec,nodux,
nodux_account_delivery_note,nodux,
nodux_account_ec,nodux,
nodux_account_electronic_invoice_ec,nodux,
nodux_account_invoice_multisequence,nodux,Módulo basado en el de Trytonspain
nodux_account_niif_ec,nodux,
nodux_account_payment,nodux,
nodux_account_postdated_check,nodux,
nodux_account_statement,nodux,
nodux_account_statement_advanced_payment,nodux,
nodux_account_stock_continental,nodux,
nodux_account_voucher_ec,nodux,
nodux_account_voucher_transfer_ec,nodux,
nodux_account_withholding_in_ec,nodux,
nodux_account_withholding_out_ec,nodux,
nodux_party_ec,nodux,
nodux_product_barcode,nodux,
nodux_product_cost_history,nodux,
nodux_product_price_list_by_product,nodux,
nodux_product_price_list_by_product_in_purchase,nodux,
nodux_product_price_list_percentage,nodux,
nodux_purchase_default_warehouse,nodux,
nodux_purchase_shipment,nodux,
nodux_purchase2draft,nodux,
nodux_reports,nodux,
nodux_sale2annulled,nodux,
nodux_sale2draft,nodux,
nodux_sale_lot,nodux,
nodux_sale_payment,nodux,
nodux_sale_payment_advanced_payment,nodux,
nodux_sale_payment_term,nodux,
nodux_sale_pos,nodux,
nodux_sale_pos_discount,nodux,
nodux_sale_pos_electronic_invoice_ec,nodux,
nodux_sale_pos_price_list,nodux,
nodux_sale_pos_salesman,nodux,
nodux_stock_expected_quantity,nodux,
nodux_stock_inventory_product_category,nodux,
nodux_stock_kardex,nodux,
nodux_stock_remission_guide,nodux,
nodux_stock_report_by_filters,nodux,
party,core,
party_credit_limit,trytonspain,
product,core,
product_brand,nantic,
product_cost_history,core,
product_kit,zikzakmedia,
product_price_list,core,
product_price_list_category,zikzakmedia,
product_price_list_formula,zikzakmedia,
product_price_with_tax,nodux,Este fue realizado basado en el módulo de Zikzakmedia el cual está para utilizar métodos disponibles desde la versión 3.8
purchase,core,
sale,core,
sale_credit_limit,core,
sale_discount,trytonspain,
sale_invoice_grouping,core,
sale_payment,trytonspain,
sale_pos,zikzakmedia,
sale_pos_discount,zikzakmedia,
sale_pos_salesman,zikzakmedia,
sale_price_list,core,
sale_product_stock,zikzakmedia,
sale_product_stock_shop,zikzakmedia,
sale_salesman,zikzakmedia,
sale_shop,zikzakmedia,
stock,core,
stock_lot,core,
stock_split,core,
stock_supply,core,
